Text,Likes,Comments
"#3201
IELTS >6.5 có thấp không mọi người, sao bạn em thi av tại trường 69 câu còn chưa pass anh văn 1 mà nó khinh em ngu hơn nó dị, do anh văn trường mình khó quá hay sao vậy ạ, rồi mỗi lần em nói gì cái tự nhiên nó khó chịu rồi nói như kiểu mình giỏi ấy, rồi nó nói nó thẳng tính, """"chỉ nói mấy cái đúng th"""", em thì em thấy nó không biết điều. Mà nhỏ này làm gì mà tính tình khó ở, hay cọc cằn nên nhiều người không thích, lại còn nết hay khó chịu, nói chuyện thì khó nghe mà nghĩ mình thẳng tính. Đã vậy mới nói trái ý xíu thôi là la hét ầm ĩ lên, sao mà nhân cách lạ quá à. 
Gởi bạn MT khoa H nha, nói ai thì tự biết đi, bạn đừng có bám theo mình nữa nha, phiền🫠 
3 3*3
-----------
#3202
Chào mọi người, học kì này mình có học 2 lớp SS008.P21 (Kinh tế chính trị Mác - 
Lênin) và SS004.P28 (Kỹ năng nghề nghiệp) nhưng chưa có bạn học cùng :<. Mình muốn tìm một nhóm bạn để làm quen và làm việc nhóm cùng khi học 2 môn này. Các bạn thả dấu """"."""" dưới cmt để mình liên hệ nhe. Xin cảm ơn. 

#UITconfessions: bit.ly/UITConfessions",12,18
"#3199
Cho e xin in4 anh đeo cặp Văn Hiến tại ngày hội TVTS ở ĐH ĐNai. Em thấy mn bảo anh học khoa Mạng. A có đọc đc bài này thả phẫn nha:))
-----------
#3200
Học kỳ mới nhưng vẫn còn một số thứ cũ. Cụ thể là mình có 1 chiếc balo UIT K17 (viền bạc), còn nguyên tag, chưa đeo bất kỳ lần nào được bảo quản rất kỹ lưỡng, mong muốn pass lại với mức giá hữu nghị là 4xx (Có deal) giao hàng tận nơi ạ. 
Bạn nào có nhả ý thì cmt để mình ib ạ.

#UITconfessions: bit.ly/UITConfessions",3,1
"#3197
Không biết là ở trong group fake lâu quá nên nhiều người bị ảnh hưởng hay sao mà thấy nhiều bạn đăng bài ẩn danh cứ xàm xàm sao ấy. Hay là tụi bụt đụt đó đổi chiến lược vừa dùng acc ảo, vừa đăng ẩn danh để đăng mấy bài xàm xàm, kick war nữa. Trong Tết tụi đó nghỉ nên thấy group đó cũng yên bình, giờ thì quay lại y như nồi cháo heo vậy. Với cả mình tưởng từ 25/12 năm ngoái thì tài khoản mxh phải định danh cá nhân mới đăng bài được mà nhỉ. Sao tụi nó vẫn dùng acc ảo đăng bài được hay ấy, lách luật tài thật.
-----------
#3198
Cho mình hỏi hè năm 3 lên năm 4 thì có được học cải thiện những môn năm nhất như giải tích hay đại số tuyến tính không ạ

#UITconfessions: bit.ly/UITConfessions",22,3
"#3197
Dạ cho em hỏi học phí học cải thiện của môn học 4 tín (3 tín LT, 1 tín TH) là bao nhiêu vậy ạ?
Dạ em cảm ơn anh chị nhiều ạ.
-----------
#3198
Cho em hỏi học GDTC môn bóng đá có phải mua đồng phục không và nếu có thì mua ở đâu ạ. Em xin cám ơn <3

#UITconfessions: bit.ly/UITConfessions",8,9
"#3195
Mình đi làm bên ngoài công ty, công ty khó khăn, không có dự án, chief phải cắt giảm nhân lực nên cũng có 1 thời gian mình bị """"thất nghiệp"""". Vậy mà có đứa nó lên MXH nó viết lung tung nói xấu mình, bảo mình là """"thất nghiệp"""", """"bị đuổi việc"""", .... Không biết nên dùng từ gì mô tả thể loại này nữa.
Mình không phải nói đạo lý đâu nhưng mà nó cười trên cái không hay của mình thì không thể nào chấp nhận được.
-----------
#3196
Nên đề phòng con trai là đúng. Nhưng đôi lúc cũng phải đề phòng những đứa con gái mà mình tưởng là """"bạn thân"""". Có những thể loại mình xem nó là bann thân, đối đãi hết sức tốt đẹp, cho dù nó có những hành động sai trái mình vẫn đối xử tốt vì nghĩ là bạn thân, nhiều lúc làm tổn thương mình vẫn chơi đẹp với nó vì nghĩ là bạn thân, nhưng rốt cuộc nó vẫn cắn sau lưng mình thôi. Vì bản chất nó từ đầu giả bộ tốt với mình, còn mình thì ngây thơ không 1 chút đề phòng, đối đãi tốt với nó, tâm sự với nó tất cả mọi điều kể cả những điều không muốn cho ai biêt. Nhưng nó lại lấy những chuyện đó đi rêu rao, bôi xấu mình khắp nơi mà mình chẳng hề hay biêt. Vẫn vô tư vui vẻ và chơi thật lòng, miễn sao nó mở miệng nhờ mình là mình làm hết không cần suy nghĩ đúng sai. Sau này có nhận ra thì cuối cùng mình là người thiệt thòi thôi.

#UITconfessions: bit.ly/UITConfessions",34,0
"#3193
Trường mình nhiều gái không ạ? Gái có đẹp không ạ ?
-----------
#3194
Cho em hỏi mấy anh UIT có mê gái không ạ? Em định vào trường, nghe đồn nhóm nào có gái là mấy anh cưng mấy chị lắm, có thật không ạ?
Dạ có gì em cảm ơn mấy anh trước ạ.

#UITconfessions: bit.ly/UITConfessions",40,23
"#3191
Xin in4 bạn Tzang lớp KTMT2024.1
-----------
#3192
Điểm Triết học kỳ này của mọi người ổn hong :)). Bạn nào trên 8 nói mình nghe với:3

#UITconfessions: bit.ly/UITConfessions",29,16
"#3189
Dạ cho em tham khảo thời gian biểu một ngày của mọi người được không ạ? Em cảm ơn nhiều ạ.
-----------
#3190
Cho em hỏi mấy anh UIT có mê gái không ạ? Em định vào trường, nghe đồn nhóm nào có gái là mấy anh cưng mấy chị lắm, có thật không ạ?
Dạ có gì em cảm ơn mấy anh trước ạ.

#UITconfessions: bit.ly/UITConfessions",39,15
"#3187
Cho em hỏi đồ gdtc mua ở đâu vậy ạ, em cảm ơn.
-----------
#3188
Dạ cho em hỏi đội C có g.h.é.t ai không ạ?

#UITconfessions: bit.ly/UITConfessions",12,0
"#3185
gửi cfs #3175, muốn học tập thì học đi, ai biểu bạn cứ lướt fb rồi kêu sao toàn drama MT với HC, người gì ngộ, không thích thì ngồi vào bàn học đi, ai bắt lướt đâu rồi than nhỉ =)))
-----------
#3186
Một kỳ đi học, em không có nhóm bạn để học cùng, em buồn quá… :( (em nữ ạ)

#UITconfessions: bit.ly/UITConfessions",33,12
